User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1000001,P00069042,F,0-17,10,A,2,0,3,,,8370
1000001,P00248942,F,0-17,10,A,2,0,1,6,14,15200
1000001,P00087842,F,0-17,10,A,2,0,12,,,1422
1000001,P00085442,F,0-17,10,A,2,0,12,14,,1057
1000002,P00285442,M,55+,16,C,4+,0,8,,,7969
1000003,P00193542,M,26-35,15,A,3,0,1,2,,15227
1000004,P00184942,M,46-50,7,B,2,1,1,8,17,19215
1000004,P00346142,M,46-50,7,B,2,1,1,15,,15854
1000004,P0097242,M,46-50,7,B,2,1,1,16,,15686
1000005,P00274942,M,26-35,20,A,1,1,8,,,7871
1000005,P00251242,M,26-35,20,A,1,1,5,11,,5254
1000005,P00014542,M,26-35,20,A,1,1,8,,,3957
1000005,P00031342,M,26-35,20,A,1,1,8,,,6073
1000005,P00145042,M,26-35,20,A,1,1,1,2,5,15665
1000006,P00231342,F,51-55,9,A,1,0,5,8,14,5378
1000006,P00190242,F,51-55,9,A,1,0,4,5,,2079
1000006,P0096642,F,51-55,9,A,1,0,2,3,4,13055
1000006,P00058442,F,51-55,9,A,1,0,5,14,,8851
1000007,P00036842,M,36-45,1,B,1,1,1,14,16,11788
1000008,P00249542,M,26-35,12,C,4+,1,1,5,15,19614
1000008,P00220442,M,26-35,12,C,4+,1,5,14,,8584
1000008,P00156442,M,26-35,12,C,4+,1,8,,,9872
1000008,P00213742,M,26-35,12,C,4+,1,8,,,9743
1000718,P00365242,M,18-25,2,C,2,0,5,8,,7080
1000718,P0099242,M,18-25,2,C,2,0,8,14,,7773
1000718,P00171342,M,18-25,2,C,2,0,13,16,,762
1000718,P00136742,M,18-25,2,C,2,0,1,14,16,15280
1000718,P00251842,M,18-25,2,C,2,0,1,15,16,8164
1000719,P00010842,M,0-17,0,C,4+,0,8,16,,7872
1000720,P00346142,M,18-25,0,B,0,0,1,15,,15852
1000720,P00120042,M,18-25,0,B,0,0,1,2,,11804
1000720,P00112642,M,18-25,0,B,0,0,1,2,5,4374
1000720,P00019342,M,18-25,0,B,0,0,1,6,15,8045
1000720,P00279342,M,18-25,0,B,0,0,5,14,,3724
1000720,P00250842,M,18-25,0,B,0,0,8,,,4264
1000720,P00240442,M,18-25,0,B,0,0,6,16,,12441
1000720,P00144042,M,18-25,0,B,0,0,2,3,4,9854
1000720,P00345842,M,18-25,0,B,0,0,2,8,14,9745
1000720,P00191342,M,18-25,0,B,0,0,2,4,9,3808
1000721,P00184942,F,36-45,9,B,1,0,1,8,17,12043
1000721,P00042142,F,36-45,9,B,1,0,1,2,6,19083
1000721,P00041042,F,36-45,9,B,1,0,1,16,,15866
1000721,P00143642,F,36-45,9,B,1,0,1,2,6,15825
1000721,P00351342,F,36-45,9,B,1,0,1,2,16,11606
1000721,P00325242,F,36-45,9,B,1,0,16,,,12172
1000721,P00320742,F,36-45,9,B,1,0,1,4,9,7756
1000721,P0099442,F,36-45,9,B,1,0,6,8,,16464
1000721,P00015642,F,36-45,9,B,1,0,8,16,17,8137
1000721,P0098242,F,36-45,9,B,1,0,1,16,,15621
1000721,P00166342,F,36-45,9,B,1,0,8,16,,6092
1000721,P00163042,F,36-45,9,B,1,0,16,,,12413
1000721,P0096542,F,36-45,9,B,1,0,3,4,12,11009
1000721,P00190142,F,36-45,9,B,1,0,3,4,5,10803
1000721,P00204742,F,36-45,9,B,1,0,8,,,5840
1000721,P00082242,F,36-45,9,B,1,0,11,,,5966
1000721,P00019142,F,36-45,9,B,1,0,11,15,,6048
1000721,P00139942,F,36-45,9,B,1,0,5,,,3449
1000721,P00249542,F,36-45,9,B,1,0,1,5,15,11530
1000721,P00032942,F,36-45,9,B,1,0,15,16,,13027
1000721,P00092442,F,36-45,9,B,1,0,2,4,,13313
1000721,P00194142,F,36-45,9,B,1,0,11,16,,5971
1000721,P00113242,F,36-45,9,B,1,0,1,6,8,15729
1000721,P00355642,F,36-45,9,B,1,0,16,,,12759
1000721,P00156442,F,36-45,9,B,1,0,8,,,7968
1000721,P00111842,F,36-45,9,B,1,0,8,,,7950
1000721,P00323642,F,36-45,9,B,1,0,8,,,7909
1000723,P00274942,M,26-35,12,C,3,1,8,,,9729
1000723,P00295942,M,26-35,12,C,3,1,2,5,15,13213
1000724,P00081142,M,51-55,13,B,2,1,6,8,14,16606
1000724,P00173342,M,51-55,13,B,2,1,1,6,14,15326
1000724,P00080042,M,51-55,13,B,2,1,5,14,,5286
1000724,P00015642,M,51-55,13,B,2,1,8,16,17,7914
1000725,P00093242,M,55+,11,A,1,0,8,,,9892
1000725,P00174442,M,55+,11,A,1,0,5,,,7059
1000725,P00115742,M,55+,11,A,1,0,6,10,16,16472
1000726,P00237642,F,26-35,9,C,0,1,5,14,,6908
1000726,P00037142,F,26-35,9,C,0,1,1,2,5,19143
1000727,P00156442,M,36-45,11,B,4+,1,8,,,8129
1000727,P00302942,M,36-45,11,B,4+,1,8,,,5882
1000727,P00230642,M,36-45,11,B,4+,1,5,,,7138
1000727,P00280842,M,36-45,11,B,4+,1,1,8,,15581
1000727,P00255842,M,36-45,11,B,4+,1,16,,,12701
1000727,P00119442,M,36-45,11,B,4+,1,5,,,7005
1000727,P00282642,M,36-45,11,B,4+,1,5,,,7054
1000727,P00028842,M,36-45,11,B,4+,1,6,8,,12720
1000728,P00284642,M,26-35,6,C,4+,0,5,8,,5174
1000728,P00006142,M,26-35,6,C,4+,0,8,,,6191
1000728,P00078142,M,26-35,6,C,4+,0,8,16,,7907
1000728,P00075742,M,26-35,6,C,4+,0,8,14,,4206
1000728,P00197442,M,26-35,6,C,4+,0,8,14,,5960
1000728,P00222042,M,26-35,6,C,4+,0,1,8,,8292
